@relation R_data_frame

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
29,25,1,143,0.006944,0.537037,0.966667,0.537037,0.033333,0.690476,0.151515,3.544444,0.992993
28,26,1,143,0.006944,0.518519,0.965517,0.518519,0.034483,0.674699,0.146465,3.54023,0.993368
27,27,1,143,0.006944,0.5,0.964286,0.5,0.035714,0.658537,0.141414,3.535714,0.993966
27,27,0,144,0,0.5,1,0.5,0,0.666667,0.136364,3.666667,0.994451
26,28,0,144,0,0.481481,1,0.481481,0,0.65,0.131313,3.666667,0.994513
25,29,0,144,0,0.462963,1,0.462963,0,0.632911,0.126263,3.666667,0.994539
24,30,0,144,0,0.444444,1,0.444444,0,0.615385,0.121212,3.666667,0.99501
23,31,0,144,0,0.425926,1,0.425926,0,0.597403,0.116162,3.666667,0.995201
22,32,0,144,0,0.407407,1,0.407407,0,0.578947,0.111111,3.666667,0.995705
21,33,0,144,0,0.388889,1,0.388889,0,0.56,0.106061,3.666667,0.996066
20,34,0,144,0,0.37037,1,0.37037,0,0.540541,0.10101,3.666667,0.996353
19,35,0,144,0,0.351852,1,0.351852,0,0.520548,0.09596,3.666667,0.996429
18,36,0,144,0,0.333333,1,0.333333,0,0.5,0.090909,3.666667,0.996994
17,37,0,144,0,0.314815,1,0.314815,0,0.478873,0.085859,3.666667,0.997064
16,38,0,144,0,0.296296,1,0.296296,0,0.457143,0.080808,3.666667,0.9971
15,39,0,144,0,0.277778,1,0.277778,0,0.434783,0.075758,3.666667,0.997103
14,40,0,144,0,0.259259,1,0.259259,0,0.411765,0.070707,3.666667,0.997197
13,41,0,144,0,0.240741,1,0.240741,0,0.38806,0.065657,3.666667,0.99791
12,42,0,144,0,0.222222,1,0.222222,0,0.363636,0.060606,3.666667,0.998024
11,43,0,144,0,0.203704,1,0.203704,0,0.338462,0.055556,3.666667,0.998245
10,44,0,144,0,0.185185,1,0.185185,0,0.3125,0.050505,3.666667,0.998251
9,45,0,144,0,0.166667,1,0.166667,0,0.285714,0.045455,3.666667,0.998259
8,46,0,144,0,0.148148,1,0.148148,0,0.258065,0.040404,3.666667,0.998524
7,47,0,144,0,0.12963,1,0.12963,0,0.229508,0.035354,3.666667,0.998739
6,48,0,144,0,0.111111,1,0.111111,0,0.2,0.030303,3.666667,0.99874
5,49,0,144,0,0.092593,1,0.092593,0,0.169492,0.025253,3.666667,0.998803
4,50,0,144,0,0.074074,1,0.074074,0,0.137931,0.020202,3.666667,0.999159
3,51,0,144,0,0.055556,1,0.055556,0,0.105263,0.015152,?,0.999344
2,52,0,144,0,0.037037,1,0.037037,0,0.071429,0.010101,?,0.999377
1,53,0,144,0,0.018519,1,0.018519,0,0.036364,0.005051,?,0.999383
0,54,0,144,0,0,?,0,?,?,0,?,0.999393
